集計期間,売上,会計数,会計単価,客数,客単価,商品数,現金支払合計額,現金支払額（10%標準）,現金支払額（8%軽減）,現金支払額（非課税）,現金その他支払合計額,現金その他支払額（10%標準）,現金その他支払額（8%軽減）,現金その他支払額（非課税）,割引額,売上（10%標準）,売上（8%軽減）,売上（8%標準）,売上（非課税）,返品数,返金額,返金額（10%標準）,返金額（8%軽減）,返金額（非課税）,"クレジットカード(Airペイ)支払合計額","クレジットカード(Airペイ)支払額（10%標準）","クレジットカード(Airペイ)支払額（8%軽減）","クレジットカード(Airペイ)支払額（非課税）","クレジットカード(Airペイ タッチ)支払合計額","クレジットカード(Airペイ タッチ)支払額（10%標準）","クレジットカード(Airペイ タッチ)支払額（8%軽減）","クレジットカード(Airペイ タッチ)支払額（非課税）","QR決済(Airペイ)支払合計額","QR決済(Airペイ)支払額（10%標準）","QR決済(Airペイ)支払額（8%軽減）","QR決済(Airペイ)支払額（非課税）","QR決済(Airペイ QR)支払合計額","QR決済(Airペイ QR)支払額（10%標準）","QR決済(Airペイ QR)支払額（8%軽減）","QR決済(Airペイ QR)支払額（非課税）","交通系電子マネー(Airペイ)支払合計額","交通系電子マネー(Airペイ)支払額（10%標準）","交通系電子マネー(Airペイ)支払額（8%軽減）","交通系電子マネー(Airペイ)支払額（非課税）","UnionPay 銀聯(Airペイ)支払合計額","UnionPay 銀聯(Airペイ)支払額（10%標準）","UnionPay 銀聯(Airペイ)支払額（8%軽減）","UnionPay 銀聯(Airペイ)支払額（非課税）","iD(Airペイ)支払合計額","iD(Airペイ)支払額（10%標準）","iD(Airペイ)支払額（8%軽減）","iD(Airペイ)支払額（非課税）","QUICPay(Airペイ)支払合計額","QUICPay(Airペイ)支払額（10%標準）","QUICPay(Airペイ)支払額（8%軽減）","QUICPay(Airペイ)支払額（非課税）","アントラーズDMO支払合計額","アントラーズDMO支払額（10%標準）","アントラーズDMO支払額（8%軽減）","アントラーズDMO支払額（非課税）","01_プロセミ支払合計額","01_プロセミ支払額（10%標準）","01_プロセミ支払額（8%軽減）","01_プロセミ支払額（非課税）","02_小林塗料支払合計額","02_小林塗料支払額（10%標準）","02_小林塗料支払額（8%軽減）","02_小林塗料支払額（非課税）","03_プラスワン支払合計額","03_プラスワン支払額（10%標準）","03_プラスワン支払額（8%軽減）","03_プラスワン支払額（非課税）","04_鈴生ハウジング支払合計額","04_鈴生ハウジング支払額（10%標準）","04_鈴生ハウジング支払額（8%軽減）","04_鈴生ハウジング支払額（非課税）","05_廣瀬造園支払合計額","05_廣瀬造園支払額（10%標準）","05_廣瀬造園支払額（8%軽減）","05_廣瀬造園支払額（非課税）","06_ヒューマンモビリティ支払合計額","06_ヒューマンモビリティ支払額（10%標準）","06_ヒューマンモビリティ支払額（8%軽減）","06_ヒューマンモビリティ支払額（非課税）","07_司設計事務所支払合計額","07_司設計事務所支払額（10%標準）","07_司設計事務所支払額（8%軽減）","07_司設計事務所支払額（非課税）","08_向後セラミックス支払合計額","08_向後セラミックス支払額（10%標準）","08_向後セラミックス支払額（8%軽減）","08_向後セラミックス支払額（非課税）","09_泉ハウジング支払合計額","09_泉ハウジング支払額（10%標準）","09_泉ハウジング支払額（8%軽減）","09_泉ハウジング支払額（非課税）","10_イセデリカ支払合計額","10_イセデリカ支払額（10%標準）","10_イセデリカ支払額（8%軽減）","10_イセデリカ支払額（非課税）","11_鹿島コムカイ支払合計額","11_鹿島コムカイ支払額（10%標準）","11_鹿島コムカイ支払額（8%軽減）","11_鹿島コムカイ支払額（非課税）","12_ミヤザキ支払合計額","12_ミヤザキ支払額（10%標準）","12_ミヤザキ支払額（8%軽減）","12_ミヤザキ支払額（非課税）","13_かみす消化器内視鏡クリニック支払合計額","13_かみす消化器内視鏡クリニック支払額（10%標準）","13_かみす消化器内視鏡クリニック支払額（8%軽減）","13_かみす消化器内視鏡クリニック支払額（非課税）","14_パルフィンガー支払合計額","14_パルフィンガー支払額（10%標準）","14_パルフィンガー支払額（8%軽減）","14_パルフィンガー支払額（非課税）","15_RVHSバイオラボ支払合計額","15_RVHSバイオラボ支払額（10%標準）","15_RVHSバイオラボ支払額（8%軽減）","15_RVHSバイオラボ支払額（非課税）","16_よろづ相談所支払合計額","16_よろづ相談所支払額（10%標準）","16_よろづ相談所支払額（8%軽減）","16_よろづ相談所支払額（非課税）","17_フジキ薬局支払合計額","17_フジキ薬局支払額（10%標準）","17_フジキ薬局支払額（8%軽減）","17_フジキ薬局支払額（非課税）","18_響の轍（ほっともっと小見川）支払合計額","18_響の轍（ほっともっと小見川）支払額（10%標準）","18_響の轍（ほっともっと小見川）支払額（8%軽減）","18_響の轍（ほっともっと小見川）支払額（非課税）","19_ロコティー支払合計額","19_ロコティー支払額（10%標準）","19_ロコティー支払額（8%軽減）","19_ロコティー支払額（非課税）"
20260813,104400,37,2821,59,1769,179,65830,65830,0,0,38570,38570,0,0,0,104400,0,0,0,0,0,0,0,0,9150,9150,0,0,0,0,0,0,10390,10390,0,0,0,0,0,0,14550,14550,0,0,0,0,0,0,4480,4480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260814,94140,22,4279,45,2092,166,49650,49650,0,0,44490,44490,0,0,0,94140,0,0,0,0,0,0,0,0,23390,23390,0,0,0,0,0,0,21100,21100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260815,98860,33,2995,53,1865,175,60260,60260,0,0,38600,38600,0,0,0,98860,0,0,0,0,0,0,0,0,8650,8650,0,0,0,0,0,0,21970,21970,0,0,0,0,0,0,2650,2650,0,0,0,0,0,0,5330,5330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260816,74130,21,3530,32,2316,130,47730,47730,0,0,26400,26400,0,0,-670,74130,0,0,0,0,0,0,0,0,22570,22570,0,0,0,0,0,0,3830,3830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260817,56070,22,2548,27,2076,102,28810,28810,0,0,27260,27260,0,0,-200,56070,0,0,0,0,0,0,0,0,7250,7250,0,0,0,0,0,0,16700,16700,0,0,0,0,0,0,3310,3310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260818,71030,25,2841,33,2152,124,40670,40670,0,0,30360,30360,0,0,0,71030,0,0,0,0,0,0,0,0,24900,24900,0,0,0,0,0,0,5460,5460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260820,69620,15,4641,27,2578,123,20760,20760,0,0,48860,48860,0,0,-2200,69620,0,0,0,0,0,0,0,0,20370,20370,0,0,0,0,0,0,28490,28490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260821,96230,15,6415,33,2916,164,75350,75350,0,0,20880,20880,0,0,0,96230,0,0,0,0,0,0,0,0,19470,19470,0,0,0,0,0,0,1410,1410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260822,102670,23,4463,37,2774,174,73340,73340,0,0,29330,29330,0,0,0,102670,0,0,0,0,0,0,0,0,16340,16340,0,0,0,0,0,0,8900,8900,0,0,0,0,0,0,4090,4090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260823,59500,18,3305,25,2380,106,27030,27030,0,0,32470,32470,0,0,-180,59500,0,0,0,0,0,0,0,0,30400,30400,0,0,0,0,0,0,2070,2070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260824,83870,19,4414,31,2705,147,60750,60750,0,0,23120,23120,0,0,0,83870,0,0,0,0,0,0,0,0,3330,3330,0,0,0,0,0,0,15060,15060,0,0,0,0,0,0,4730,4730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260825,82670,20,4133,38,2175,149,59900,59900,0,0,22770,22770,0,0,0,82670,0,0,0,0,0,0,0,0,18910,18910,0,0,0,0,0,0,3860,3860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260827,31240,10,3124,14,2231,55,16710,16710,0,0,14530,14530,0,0,0,31240,0,0,0,0,0,0,0,0,12250,12250,0,0,0,0,0,0,2280,2280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260828,161290,17,9487,64,2520,322,145170,145170,0,0,16120,16120,0,0,-570,161290,0,0,0,0,0,0,0,0,10400,10400,0,0,0,0,0,0,5720,5720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260829,69120,21,3291,39,1772,122,41990,41990,0,0,27130,27130,0,0,0,69120,0,0,0,0,0,0,0,0,8950,8950,0,0,0,0,0,0,11650,11650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6530,6530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260830,98080,15,6538,41,2392,169,69640,69640,0,0,28440,28440,0,0,0,98080,0,0,0,0,0,0,0,0,17220,17220,0,0,0,0,0,0,8140,8140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3080,3080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260831,70940,16,4433,37,1917,122,26490,26490,0,0,44450,44450,0,0,300,70940,0,0,0,0,0,0,0,0,16500,16500,0,0,0,0,0,0,25650,25650,0,0,0,0,0,0,2300,2300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
