利用日,利用店名,利用額,取引種類,確定／未確定,備考,領収書添付状況,領収書メモ,最終添付日,利用報告,カード名,カード下4桁
2025/10/23,ｾﾘｱ ﾗｲﾌｶﾞ-ﾃﾞﾝｶﾐｽﾃﾝ 大衆酒場りゅうちゃん,1540,売上,確定,,添付済み,,2025/11/7,申請不要,大衆酒場りゅうちゃん,2739
2025/10/23,ベストリカー神栖店 韓国酒場ハナ,2098,売上,確定,,未添付,,,未申請,韓国酒場ハナ,7655
2025/10/23,タイヨー神栖店 韓国酒場ハナ,2193,売上,確定,,未添付,,,未申請,韓国酒場ハナ,7655
2025/10/21,ﾊﾂｺｳﾉｻﾄｺｳｻﾞｷｼﾝｾﾝｲﾁﾊﾞ もも焼きJAPAN,2419,売上,確定,,添付済み,食材,2025/10/22,申請不要,もも焼きJAPAN,207
2025/10/21,セイミヤ佐原牧野店 さわら十三里屋リアルカード,427,売上,確定,,未添付,,,申請不要,さわら十三里屋リアルカード,9782
2025/10/21,ＭｏｎｏｔａＲＯ．ｃｏｍ ビルメン事業部,16577,売上,確定,,未添付,,,申請不要,ビルメン事業部,321
2025/10/20,ﾀﾞｿﾞｰﾝ･ｼﾞｬﾊﾟﾝ･ｲﾝﾍﾞｽﾄﾒﾝﾄ 神栖横丁,4180,売上,確定,,未添付,,,申請不要,神栖横丁,8772
2025/10/19,ダイソー タコとハイボール神栖横丁,110,売上,確定,,未添付,,,申請不要,タコとハイボール神栖横丁,4188
2025/10/19,タイヨーオークビレッジ店 タコとハイボール神栖横丁,692,売上,確定,,未添付,,,申請不要,タコとハイボール神栖横丁,4188
2025/10/19,カスミＦＳライフガーデン神栖店 大衆酒場りゅうちゃん,9113,売上,確定,,未添付,,,申請不要,大衆酒場りゅうちゃん,2739
2025/10/19,印刷通販プリントパック 鳥害対策課,2020,売上,確定,,未添付,,,申請不要,鳥害対策課,819
2025/10/18,タイヨーオークビレッジ店 もも焼きJAPAN,16267,売上,確定,,添付済み,食材,2025/10/19,申請不要,もも焼きJAPAN,207
2025/10/18,ｻｶﾂｺ-ﾎﾟﾚ-ｼｮﾝﾗｸﾃﾝｲﾁ(ﾗｸﾃﾝ もも焼きJAPAN,2398,売上,確定,,添付済み,酒,2025/10/25,申請不要,もも焼きJAPAN,207
2025/10/18,すき家 鳥害対策課,2970,売上,確定,,未添付,,,申請不要,鳥害対策課,819
2025/10/18,タイヨー神栖店 韓国酒場ハナ,2016,売上,確定,,未添付,,,未申請,韓国酒場ハナ,7655
2025/10/18,ｷﾞﾖｳﾑｽ-ﾊﾟ-ｶﾐｽﾃﾝ 韓国酒場ハナ,2442,売上,確定,,未添付,,,未申請,韓国酒場ハナ,7655
2025/10/17,タイヨー神栖店 もも焼きJAPAN,1634,売上,確定,,添付済み,食材 / 食材,2025/10/18,申請不要,もも焼きJAPAN,207
2025/10/17,ベストリカー神栖店 もも焼きJAPAN,7383,売上,確定,,添付済み,食材,2025/10/18,申請不要,もも焼きJAPAN,207
2025/10/17,藤原ストア もも焼きJAPAN,12616,売上,確定,,添付済み,酒,2025/10/18,申請不要,もも焼きJAPAN,207
2025/10/17,ベストリカー神栖店 タコとハイボール神栖横丁,4147,売上,確定,,未添付,,,申請不要,タコとハイボール神栖横丁,4188
2025/10/17,タイヨー神栖店 タコとハイボール神栖横丁,2069,売上,確定,,未添付,,,申請不要,タコとハイボール神栖横丁,4188
2025/10/17,タイヨーオークビレッジ店 大衆酒場りゅうちゃん,11467,売上,確定,,添付済み,,2025/10/19,申請不要,大衆酒場りゅうちゃん,2739
2025/10/17,セイミヤ佐原牧野店 さわら十三里屋リアルカード,641,売上,確定,,未添付,,,申請不要,さわら十三里屋リアルカード,9782
2025/10/17,ベストリカー神栖店 韓国酒場ハナ,192,売上,確定,,未添付,,,未申請,韓国酒場ハナ,7655
2025/10/17,タイヨー神栖店 韓国酒場ハナ,2269,売上,確定,,未添付,,,未申請,韓国酒場ハナ,7655
2025/10/16,タイヨーオークビレッジ店 もも焼きJAPAN,9793,売上,確定,,添付済み,食材,2025/10/17,申請不要,もも焼きJAPAN,207
2025/10/16,ﾘｶ-ｱﾝﾄﾞﾌ-ｽﾞﾋｼﾔ もも焼きJAPAN,5940,売上,確定,,添付済み,酒,2025/10/17,申請不要,もも焼きJAPAN,207
2025/10/16,カスミ　ＦＭ神栖 大衆酒場りゅうちゃん,12884,売上,確定,,添付済み,,2025/10/19,申請不要,大衆酒場りゅうちゃん,2739
2025/10/16,カスミ　ＦＭ鹿嶋スタジアム店 焼きたて屋コメリパワー鹿島店,2505,売上,確定,,添付済み,,2025/11/1,申請不要,焼きたて屋コメリパワー鹿島店,585
2025/10/16,ドコモご利用料金　１０月ご利用分 さわら十三里屋,3304,売上,確定,,未添付,,,申請不要,さわら十三里屋,538
2025/10/16,ＭｏｎｏｔａＲＯ．ｃｏｍ 鳥害対策課,6266,売上,確定,,未添付,,,申請不要,鳥害対策課,819
2025/10/16,電材部品．ｃｏｍ（ＢｔｏＢ） 鳥害対策課,28666,売上,確定,,未添付,,,申請不要,鳥害対策課,819
2025/10/16,ﾓｷﾞﾘﾎﾞﾝﾄﾞﾔﾏｻﾞｷ    (ﾗｸﾃﾝ 鳥害対策課,59000,売上,確定,,未添付,,,申請不要,鳥害対策課,819
2025/10/16,タイヨー神栖店 韓国酒場ハナ,2425,売上,確定,,未添付,,,未申請,韓国酒場ハナ,7655
2025/10/15,ﾄﾀﾞｻﾝｷﾞﾖｳｲﾀｺ もも焼きJAPAN,5756,売上,確定,,添付済み,資材,2025/10/17,申請不要,もも焼きJAPAN,207
2025/10/15,ＭｏｎｏｔａＲＯ．ｃｏｍ ビルメン事業部,4178,売上,確定,,未添付,,,申請不要,ビルメン事業部,321
2025/10/15,セリア　カスミ神栖店 韓国酒場ハナ,220,売上,確定,,未添付,,,未申請,韓国酒場ハナ,7655
2025/10/14,タイヨー　オークビレッジ店 もも焼きJAPAN,6878,売上,確定,,添付済み,食材 / 食材,2025/10/15,申請不要,もも焼きJAPAN,207
2025/10/14,印刷通販プリントパック さわら十三里屋,6000,売上,確定,,未添付,,,申請不要,さわら十三里屋,538
2025/10/14,ＭｏｎｏｔａＲＯ．ｃｏｍ ビルメン事業部,16105,売上,確定,,未添付,,,申請不要,ビルメン事業部,321
2025/10/14,Ａｍａｚｏｎプライム会費 韓国酒場ハナ,600,売上,確定,,未添付,,,未申請,韓国酒場ハナ,7655
2025/10/13,タイヨー　オークビレッジ店 タコとハイボール神栖横丁,2551,売上,確定,,未添付,,,申請不要,タコとハイボール神栖横丁,4188
2025/10/13,カスミＦＳライフガーデン神栖店 大衆酒場りゅうちゃん,11287,売上,確定,,添付済み,,2025/10/19,申請不要,大衆酒場りゅうちゃん,2739
2025/10/12,ｴﾈｵｽ-ｴｽｴｽ もも焼きJAPAN,3871,売上,確定,,添付済み,ガソリン,2025/10/19,申請不要,もも焼きJAPAN,207
2025/10/12,タイヨー神栖店 もも焼きJAPAN,1677,売上,確定,,添付済み,食材,2025/10/13,申請不要,もも焼きJAPAN,207
2025/10/12,セレクト館／ＮＦＣ もも焼きJAPAN,1510,売上,確定,,添付済み,食材,2025/10/13,申請不要,もも焼きJAPAN,207
2025/10/12,カスミ　ＦＭ神栖 大衆酒場りゅうちゃん,5756,売上,確定,,添付済み,,2025/10/19,申請不要,大衆酒場りゅうちゃん,2739
2025/10/12,ＭＥＧＡドン・キホーテ神栖店 韓国酒場ハナ,4125,売上,確定,,未添付,,,未申請,韓国酒場ハナ,7655
2025/10/11,丸や もも焼きJAPAN,1123,売上,確定,,添付済み,食材,2025/10/12,申請不要,もも焼きJAPAN,207
2025/10/11,タイヨー　オークビレッジ店 もも焼きJAPAN,6453,売上,確定,,添付済み,食材,2025/10/12,申請不要,もも焼きJAPAN,207
2025/10/11,ベストリカー神栖店 タコとハイボール神栖横丁,660,売上,確定,,未添付,,,申請不要,タコとハイボール神栖横丁,4188
2025/10/11,タイヨー神栖店 タコとハイボール神栖横丁,3169,売上,確定,,未添付,,,申請不要,タコとハイボール神栖横丁,4188
2025/10/11,ｻｶｸﾞﾗﾔﾏﾅｶ 大衆酒場りゅうちゃん,3326,売上,確定,,添付済み,,2025/10/19,申請不要,大衆酒場りゅうちゃん,2739
2025/10/11,タイヨー神栖店 韓国酒場ハナ,3825,売上,確定,,未添付,,,未申請,韓国酒場ハナ,7655
2025/10/10,カスミＦＳライフガーデン神栖店 大衆酒場りゅうちゃん,5304,売上,確定,,添付済み,,2025/10/19,申請不要,大衆酒場りゅうちゃん,2739
2025/10/10,DP5*PRINTPAC CORPORATIO さわら十三里屋,-8080,返金,未確定,,添付不要,,,申請不要,さわら十三里屋,538
2025/10/10,DP5*PRINTPAC CORPORATIO さわら十三里屋,8080,売上,未確定,,添付不要,,,申請不要,さわら十三里屋,538
2025/10/10,DP5*PRINTPAC CORPORATIO さわら十三里屋,-2020,返金,未確定,,添付不要,,,申請不要,さわら十三里屋,538
2025/10/10,DP5*PRINTPAC CORPORATIO さわら十三里屋,-2020,返金,未確定,,添付不要,,,申請不要,さわら十三里屋,538
2025/10/10,DP5*PRINTPAC CORPORATIO さわら十三里屋,-2020,返金,未確定,,添付不要,,,申請不要,さわら十三里屋,538
2025/10/10,DP5*PRINTPAC CORPORATIO さわら十三里屋,-2020,返金,未確定,,添付不要,,,申請不要,さわら十三里屋,538
2025/10/10,DP5*PRINTPAC CORPORATIO さわら十三里屋,2020,売上,未確定,,添付不要,,,申請不要,さわら十三里屋,538
2025/10/10,DP5*PRINTPAC CORPORATIO さわら十三里屋,2020,売上,未確定,,添付不要,,,申請不要,さわら十三里屋,538
2025/10/10,DP5*PRINTPAC CORPORATIO さわら十三里屋,2020,売上,未確定,,添付不要,,,申請不要,さわら十三里屋,538
2025/10/10,DP5*PRINTPAC CORPORATIO さわら十三里屋,2020,売上,未確定,,添付不要,,,申請不要,さわら十三里屋,538
2025/10/10,印刷通販プリントパック さわら十三里屋,-2020,返金,確定,,添付不要,,,申請不要,さわら十三里屋,538
2025/10/10,印刷通販プリントパック さわら十三里屋,-2020,返金,確定,,添付不要,,,申請不要,さわら十三里屋,538
2025/10/10,印刷通販プリントパック さわら十三里屋,-2020,返金,確定,,添付不要,,,申請不要,さわら十三里屋,538
2025/10/10,印刷通販プリントパック さわら十三里屋,-2020,返金,確定,,添付不要,,,申請不要,さわら十三里屋,538
2025/10/10,印刷通販プリントパック さわら十三里屋,-8080,返金,確定,,添付不要,,,申請不要,さわら十三里屋,538
2025/10/10,印刷通販プリントパック さわら十三里屋,8080,売上,確定,,未添付,,,申請不要,さわら十三里屋,538
2025/10/10,印刷通販プリントパック さわら十三里屋,2020,売上,確定,,未添付,,,申請不要,さわら十三里屋,538
2025/10/10,印刷通販プリントパック さわら十三里屋,2020,売上,確定,,未添付,,,申請不要,さわら十三里屋,538
2025/10/10,印刷通販プリントパック さわら十三里屋,2020,売上,確定,,未添付,,,申請不要,さわら十三里屋,538
2025/10/10,印刷通販プリントパック さわら十三里屋,2020,売上,確定,,未添付,,,申請不要,さわら十三里屋,538
2025/10/10,印刷通販プリントパック さわら十三里屋,8080,売上,確定,,未添付,,,申請不要,さわら十三里屋,538
2025/10/10,タイヨー　オークビレッジ店 韓国酒場ハナ,7333,売上,確定,,未添付,,,未申請,韓国酒場ハナ,7655
2025/10/9,タイヨー　オークビレッジ店 もも焼きJAPAN,8185,売上,確定,,添付済み,食材 / 食材,2025/10/9,申請不要,もも焼きJAPAN,207
2025/10/9,エクセル　ミナミ もも焼きJAPAN,4283,売上,確定,,添付済み,食材,2025/10/9,申請不要,もも焼きJAPAN,207
2025/10/9,ミトエクセル もも焼きJAPAN,9709,売上,確定,,添付済み,酒,2025/10/9,申請不要,もも焼きJAPAN,207
2025/10/9,タイヨー　オークビレッジ店 大衆酒場りゅうちゃん,20781,売上,確定,,添付済み,,2025/10/19,申請不要,大衆酒場りゅうちゃん,2739
2025/10/9,ベストリカー神栖店 韓国酒場ハナ,257,売上,確定,,未添付,,,未申請,韓国酒場ハナ,7655
2025/10/9,タイヨー神栖店 韓国酒場ハナ,3779,売上,確定,,未添付,,,未申請,韓国酒場ハナ,7655
2025/10/9,ｷﾞﾖｳﾑｽ-ﾊﾟ-ｶﾐｽﾃﾝ 韓国酒場ハナ,1548,売上,確定,,未添付,,,未申請,韓国酒場ハナ,7655
2025/10/9,ｶﾝｺｸﾌﾘ-ﾏ-         (ﾗｸﾃﾝ 韓国酒場ハナ,2780,売上,確定,,未添付,,,未申請,韓国酒場ハナ,7655
2025/10/8,カスミ　ＦＭ鹿嶋スタジアム店 焼きたて屋コメリパワー鹿島店,1944,売上,確定,,添付済み,,2025/11/1,申請不要,焼きたて屋コメリパワー鹿島店,585
2025/10/7,タイヨー　オークビレッジ店 もも焼きJAPAN,3745,売上,確定,,添付済み,食材 / 食材,2025/10/9,申請不要,もも焼きJAPAN,207
2025/10/7,ｴｷｼｺ-ｽﾄｲﾝﾀ-ﾈｯﾄｽ   (ﾗｸﾃﾝ もも焼きJAPAN,3280,売上,確定,,添付済み,食材,2025/10/12,申請不要,もも焼きJAPAN,207
2025/10/7,ｽﾐﾔﾀｸﾐﾗｸﾃﾝｲﾁﾊﾞﾃﾝ  (ﾗｸﾃﾝ もも焼きJAPAN,4620,売上,確定,,添付済み,炭,2025/10/12,申請不要,もも焼きJAPAN,207
2025/10/7,タイヨー　オークビレッジ店 タコとハイボール神栖横丁,1434,売上,確定,,未添付,,,申請不要,タコとハイボール神栖横丁,4188
2025/10/7,カスミ　ＦＭ神栖 大衆酒場りゅうちゃん,9906,売上,確定,,添付済み,,2025/10/19,申請不要,大衆酒場りゅうちゃん,2739
2025/10/7,ＵＳＥＮ　ご利用料 さわら十三里屋,2744,売上,確定,,未添付,,,申請不要,さわら十三里屋,538
2025/10/6,タイヨー　オークビレッジ店 もも焼きJAPAN,3680,売上,確定,,添付済み,食材,2025/10/7,申請不要,もも焼きJAPAN,207
2025/10/6,ｷﾞﾖｳﾑｽ-ﾊﾟ-ｶﾐｽﾃﾝ もも焼きJAPAN,3789,売上,確定,,添付済み,食材,2025/10/7,申請不要,もも焼きJAPAN,207
2025/10/6,タイヨー　オークビレッジ店 大衆酒場りゅうちゃん,4290,売上,確定,,添付済み,,2025/10/19,申請不要,大衆酒場りゅうちゃん,2739
2025/10/6,ＡＭＡＺＯＮ．ＣＯ．ＪＰ さわら十三里屋,38932,売上,確定,,未添付,,,申請不要,さわら十三里屋,538
2025/10/6,ＡＭＡＺＯＮ．ＣＯ．ＪＰ さわら十三里屋リアルカード,10530,売上,確定,,未添付,,,申請不要,さわら十三里屋リアルカード,9782
2025/10/6,タイヨー神栖店 韓国酒場ハナ,2783,売上,確定,,未添付,,,未申請,韓国酒場ハナ,7655
2025/10/5,ﾀﾞｿﾞｰﾝ･ｼﾞｬﾊﾟﾝ･ｲﾝﾍﾞｽﾄﾒﾝﾄ 神栖横丁,490,売上,確定,,未添付,,,申請不要,神栖横丁,8772
2025/10/5,ＤＣＭ／ＮＦＣ タコとハイボール神栖横丁,764,売上,確定,,未添付,,,申請不要,タコとハイボール神栖横丁,4188
2025/10/4,タイヨー神栖店 もも焼きJAPAN,321,売上,確定,,添付済み,食材,2025/10/6,申請不要,もも焼きJAPAN,207
2025/10/4,タイヨーベストリカー神栖店 もも焼きJAPAN,8049,売上,確定,,添付済み,酒,2025/10/6,申請不要,もも焼きJAPAN,207
2025/10/4,タイヨー　オークビレッジ店 もも焼きJAPAN,6685,売上,確定,,添付済み,食材,2025/10/6,申請不要,もも焼きJAPAN,207
2025/10/4,ＷＩＮＤＳＢＡＳＥ もも焼きJAPAN,2780,売上,確定,,添付済み,食材,2025/10/6,申請不要,もも焼きJAPAN,207
2025/10/4,タイヨー　オークビレッジ店 タコとハイボール神栖横丁,2704,売上,確定,,未添付,,,申請不要,タコとハイボール神栖横丁,4188
2025/10/4,カスミ　ＦＭ神栖 大衆酒場りゅうちゃん,12310,売上,確定,,添付済み,,2025/10/19,申請不要,大衆酒場りゅうちゃん,2739
2025/10/4,カスミ　ＦＭ鹿嶋スタジアム店 焼きたて屋コメリパワー鹿島店,2393,売上,確定,,添付済み,,2025/10/6,申請不要,焼きたて屋コメリパワー鹿島店,585
2025/10/4,ﾒﾆｭ-ﾌﾞｯｸﾉﾀﾂｼﾞﾝ    (ﾗｸﾃﾝ さわら十三里屋リアルカード,3465,売上,確定,,未添付,,,申請不要,さわら十三里屋リアルカード,9782
2025/10/4,ﾗｸﾃﾝﾄﾗﾍﾞﾙ ｺｸﾅｲｼｭｸﾊｸ ビルメン事業部,41800,売上,確定,,未添付,,,申請不要,ビルメン事業部,321
2025/10/4,タイヨー　オークビレッジ店 韓国酒場ハナ,2397,売上,確定,,未添付,,,未申請,韓国酒場ハナ,7655
2025/10/4,ｺﾘｱﾀｳﾝ            (ﾗｸﾃﾝ 韓国酒場ハナ,3550,売上,確定,,未添付,,,未申請,韓国酒場ハナ,7655
2025/10/4,ｶﾝｺｸｼｮｸﾋﾝｺｽﾒﾗｸﾃﾝｲﾁ(ﾗｸﾃﾝ 韓国酒場ハナ,2250,売上,確定,,未添付,,,未申請,韓国酒場ハナ,7655
2025/10/3,ＡＭＡＺＯＮ．ＣＯ．ＪＰ 神栖横丁,16990,売上,確定,,未添付,,,申請不要,神栖横丁,8772
2025/10/3,ｻｶｸﾞﾗﾔﾏﾅｶ もも焼きJAPAN,9007,売上,確定,,添付済み,酒,2025/10/4,申請不要,もも焼きJAPAN,207
2025/10/3,タイヨー　オークビレッジ店 もも焼きJAPAN,12690,売上,確定,,添付済み,食材,2025/10/4,申請不要,もも焼きJAPAN,207
2025/10/3,タイヨーベストリカー神栖店 もも焼きJAPAN,5965,売上,確定,,添付済み,事務所用,2025/10/3,申請不要,もも焼きJAPAN,207
2025/10/3,タイヨーベストリカー神栖店 もも焼きJAPAN,3525,売上,確定,,添付済み,食材,2025/10/4,申請不要,もも焼きJAPAN,207
2025/10/2,印刷通販プリントパック 神栖横丁,4780,売上,確定,,未添付,,,申請不要,神栖横丁,8772
2025/10/2,タイヨー　オークビレッジ店 大衆酒場りゅうちゃん,15574,売上,確定,,添付済み,,2025/10/19,申請不要,大衆酒場りゅうちゃん,2739
2025/10/2,ｻｶｸﾞﾗﾔﾏﾅｶ 大衆酒場りゅうちゃん,251867,売上,確定,,添付済み,,2025/10/3,申請不要,大衆酒場りゅうちゃん,2739
2025/10/2,セイミヤ佐原牧野店 さわら十三里屋リアルカード,1074,売上,確定,,未添付,,,申請不要,さわら十三里屋リアルカード,9782
2025/10/2,ＭｏｎｏｔａＲＯ．ｃｏｍ ビルメン事業部,4836,売上,確定,,未添付,,,申請不要,ビルメン事業部,321
2025/10/2,ｷﾞﾖｳﾑｽ-ﾊﾟ-ｶﾐｽﾃﾝ 韓国酒場ハナ,643,売上,確定,,未添付,,,未申請,韓国酒場ハナ,7655
2025/10/1,ＬＩＮＥ公式アカウント 神栖横丁,5500,売上,確定,,未添付,,,申請不要,神栖横丁,8772
,,25850,,,,,,,,,
