"合計請求書ID","合計請求書No","件名","顧客名","顧客支社名","顧客担当者（姓）","顧客担当者（名）","請求金額","消費税","合計","源泉徴収税","請求日","支払期限","請求ステータス","支払方法","グループ","担当者（姓）","担当者（名）","顧客ID","顧客番号","顧客略称名","顧客郵便番号","顧客都道府県","顧客市区町村・番地","顧客建物名","顧客TEL","顧客FAX","To（顧客）","Cc（顧客）","顧客タグ","書類送付方法","顧客支社ID","顧客支社郵便番号","顧客支社都道府県","顧客支社市区町村・番地","顧客支社建物名","顧客支社TEL","顧客支社FAX","顧客担当者ID","顧客担当者敬称","顧客担当者肩書","顧客担当者部署","顧客担当者メールアドレス","請求金額（0%）","請求金額（8%）","消費税（8%）","請求金額（軽減8%）","消費税（軽減8%）","請求金額（10%）","消費税（10%）","請求金額（JPY・税抜）","請求金額（JPY・税込）","請求金額（JPY・0%）","請求金額（JPY・8%）","消費税（JPY・8%）","請求金額（JPY・軽減8%）","消費税（JPY・軽減8%）","請求金額（JPY・10%）","消費税（JPY・10%）","通貨","顧客の登録番号","登録番号チェック状況"
"37221669","8206","2026年08月請求分","横河ソリューションサービス株式会社","","","","86250.0","8625.0","94875.0","0.0","2026-08-31","2026-09-30","請求済","銀行振込","業務課","飯田","栄","52221668","","横河ソリューションサービス","314-0127","茨城県","神栖市木崎2406-395","","0299-93-3791","","Ayako.Uezono@yokogawa.com","Tomomi.Tsuchiya@yokogawa.com","横河日常,横河ソリューションサービス,神栖,水戸","メール(DL)","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","86250.0","8625.0","86250","94875","0","0","0","0","0","86250","8625","JPY","","未"
"37222279","8230","2026年08月請求分","古谷乳業株式会社","","","","87454.0","8745.0","96199.0","0.0","2026-08-31","2026-09-30","請求済","銀行振込","業務課","飯田","純子","52221669","","古谷乳業","289-2247","千葉県","香取郡多古町水戸字水戸台1-16","","0479-76-7770","","t.imazeki@furuya-milk.co.jp","","定期清掃,トイレ掃除,ウルトラ","郵送","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","87454.0","8745.0","87454","96199","0","0","0","0","0","87454","8745","JPY","","未"
"37223267","8224","2026年08月請求分","シナネンアクシア株式会社","","","","1669155.0","166916.0","1836071.0","0.0","2026-08-31","2026-10-10","請求済","銀行振込","業務課","飯田","栄","52224663","","シナネンアクシア","301-0002","茨城県","龍ケ崎市中根台四丁目10番地1","","0297-66-7111","","c-maeda@takara-gr.co.jp,y-nara@takara-gr.co.jp","seikyu@prostyle-co.com","国府台病院,日経茨城,稲敷給食センター,共立製薬,河村皮膚科","メール(DL)","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","1669155.0","166916.0","1669155","1836071","0","0","0","0","0","1669155","166916","JPY","","未"
"37221692","8176","2026年08月請求分","千葉ビル・メンテナンス株式会社","","","","217100.0","21710.0","238810.0","0.0","2026-08-31","2026-09-30","請求済","銀行振込","業務課","飯田","栄","52224745",""," 千葉ビルメンテナンス","260-0007","千葉県","千葉市中央区祐光1丁目1番38号","","043-224-0022","","sugimoto@chibabill.jp","","","郵送","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","217100.0","21710.0","217100","238810","0","0","0","0","0","217100","21710","JPY","","未"
"37221860","8244","2026年08月請求分","東京食堂","","","","20000.0","2000.0","22000.0","0.0","2026-08-31","2026-09-30","請求済","銀行振込","業務課","飯田","純子","52224755","","東京食堂","314-0146","茨城県","神栖市平泉2123-5","","0299-92-1941","","","","定期清掃","メール(DL)+郵送","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","20000.0","2000.0","20000","22000","0","0","0","0","0","20000","2000","JPY","","未"
"37221694","8178","2026年08月請求分","総武供給センター株式会社","","","","37500.0","3750.0","41250.0","0.0","2026-08-31","2026-09-30","請求済","銀行振込","業務課","平野","健雄","52224777","","総武供給センター","289-2714","千葉県","旭市三川４６０５","","","","sp442zv9@hop.ocn.ne.jp","","飯岡ホール","郵送","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","37500.0","3750.0","37500","41250","0","0","0","0","0","37500","3750","JPY","","未"
"37221894","8205","2026年08月請求分","株式会社東進ビルシステム","","","","979278.0","97928.0","1077206.0","0.0","2026-08-31","2026-09-30","請求済","銀行振込","業務課","飯田","栄","52224778","","東進ビルシステム","270-1132","千葉県","我孫子市湖北台10-6-7","","0471-88-1511","","keiri@toshin-bs.com","seikyu@prostyle-co.com","満天の湯,市川東病院,市川東ヘルスクリニック,中央学院高校,幸豊園","メール(DL)","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","979278.0","97928.0","979278","1077206","0","0","0","0","0","979278","97928","JPY","","未"
"37221696","8226","2026年08月請求分","株式会社HMコーポレーション","","","","133199.0","13320.0","146519.0","0.0","2026-08-31","2026-09-30","入金済","銀行振込","業務課","安藤","正樹","52224779","","HMコーポレーション　ミズノ動物クリニック","270-1342","千葉県","印西市高花2-1-10","","0476-46-9991","","office@mizuno-vet.com","miyuki10009@gmail.com","","メール(DL)+郵送","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","133199.0","13320.0","133199","146519","0","0","0","0","0","133199","13320","JPY","","未"
"37221703","8229","2026年08月請求分","佐原動物病院","","","","33000.0","3300.0","36300.0","0.0","2026-08-31","2026-09-30","請求済","銀行振込","業務課","平野","健雄","52224795","","佐原動物病院","287-0041","千葉県","香取市玉造１丁目７－４","","0478-50-2255","","ganta@i.softbank.jp","","定期清掃","メール(DL)+郵送","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","33000.0","3300.0","33000","36300","0","0","0","0","0","33000","3300","JPY","","未"
"37221719","8208","2026年08月請求分","株式会社PlusOne","","","","160000.0","16000.0","176000.0","0.0","2026-08-31","2026-09-30","請求済","銀行振込","業務課","安藤","正樹","52224801","","PlusOne","314-0031","茨城県","鹿嶋市宮中1-6-10","","","","plusone@tasuichi.info","","フォリクロ,Espresso D Works","メール(DL)","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","160000.0","16000.0","160000","176000","0","0","0","0","0","160000","16000","JPY","","未"
"37221713","8246","2026年08月請求分","株式会社PlusOne","","","","30000.0","3000.0","33000.0","0.0","2026-08-31","2026-09-30","請求済","銀行振込","","飯田","栄","52224801","","PlusOne","314-0031","茨城県","鹿嶋市宮中1-6-10","","","","plusone@tasuichi.info","","フォリクロ,Espresso D Works","メール(DL)","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","30000.0","3000.0","30000","33000","0","0","0","0","0","30000","3000","JPY","","未"
"37221869","7758","2026年08月請求分","高坂防災株式会社","","加藤","節也","420000.0","42000.0","462000.0","0.0","2026-08-31","2026-09-30","請求済","銀行振込","鳥害対策課","飯田","栄","52224802","","高坂防災","314-0121","茨城県","神栖市溝口２３５５－３","","0299-93-1873","0299-93-1620","","","鳥害対策工事","郵送","","","","","","","","56674475","様","","","","0.0","0.0","0.0","0.0","0.0","420000.0","42000.0","420000","462000","0","0","0","0","0","420000","42000","JPY","","未"
"37221855","8184","2026年08月請求分","医療法人社団　英正会","","","","7000.0","700.0","7700.0","0.0","2026-08-31","2026-09-30","請求済","銀行振込","業務課","飯田","純子","52224805","","英正会","289-0305","千葉県","香取市分郷32-1","","0478-83-8800","","","","ひまわり眼科,鹿島眼科,なのはな眼科,けやき眼科,ローズ眼科","郵送","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","7000.0","700.0","7000","7700","0","0","0","0","0","7000","700","JPY","","未"
"37221858","8243","2026年08月請求分","医療法人社団　英正会","","","","30000.0","3000.0","33000.0","0.0","2026-08-31","2026-09-30","請求済","銀行振込","業務課","飯田","栄","52224805","","英正会","289-0305","千葉県","香取市分郷32-1","","0478-83-8800","","","","ひまわり眼科,鹿島眼科,なのはな眼科,けやき眼科,ローズ眼科","郵送","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","30000.0","3000.0","30000","33000","0","0","0","0","0","30000","3000","JPY","","未"
"37221755","8248","2026年08月請求分","株式会社THANKMILE","","伊藤","和","37000.0","3700.0","40700.0","0.0","2026-08-31","2026-09-30","請求済","銀行振込","業務課","小林","俊樹","52224865","","サンクマイル","289-0313","千葉県","香取市小見川839-2","朝日テナントビルD2F","","","y.itoh@thankmile.com","seikyu@prostyle-co.com","リハプライド,牛角神栖店","メール(DL)+郵送","","","","","","","","56674497","様","","","y.itoh@thankmile.com","0.0","0.0","0.0","0.0","0.0","37000.0","3700.0","37000","40700","0","0","0","0","0","37000","3700","JPY","","未"
"37221758","8258","2026年08月請求分","株式会社THANKMILE","","伊藤","和","27000.0","2700.0","29700.0","0.0","2026-08-31","2026-09-30","請求済","銀行振込","業務課","平野","健雄","52224865","","サンクマイル","289-0313","千葉県","香取市小見川839-2","朝日テナントビルD2F","","","y.itoh@thankmile.com","seikyu@prostyle-co.com","リハプライド,牛角神栖店","メール(DL)+郵送","","","","","","","","56674497","様","","","y.itoh@thankmile.com","0.0","0.0","0.0","0.0","0.0","27000.0","2700.0","27000","29700","0","0","0","0","0","27000","2700","JPY","","未"
"37221763","8236","2026年08月請求分","有限会社 朝日不動産","","鎌形","","10000.0","1000.0","11000.0","0.0","2026-08-31","2026-09-30","請求済","銀行振込","業務課","飯田","栄","52224991",""," 朝日不動産","289-0313","千葉県","香取市小見川１４５２","","0478-82-0101","","info@asahi-re.com","mitsuhiro.s@nifty.com,s-iida@prostyle-co.com","朝日不動産日常,ハイツヤワタ15C,コーポマリンⅠ・Ⅱ,センチュリー","メール(DL)","","","","","","","","56674574","様","","","","0.0","0.0","0.0","0.0","0.0","10000.0","1000.0","10000","11000","0","0","0","0","0","10000","1000","JPY","","未"
"37221766","8242","2026年08月請求分","三幸株式会社南総支店","","","","130953.0","13095.0","144048.0","0.0","2026-08-31","2026-09-30","請求済","銀行振込","業務課","飯田","栄","52225006","","三幸南総支店","292-0835","千葉県","木更津市築地１番地１","東日本製鉄所君津地区ビジネスセンター１１３号","0438-38-0901","","naomi.minakawa@sanko-inc.co.jp,m_nagashima@sanko-inc.co.jp","seikyu@prostyle-co.com","","メール(DL)","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","130953.0","13095.0","130953","144048","0","0","0","0","0","130953","13095","JPY","","未"
"37221853","8259","2026年08月請求分","社会福祉法人 阿育会","","","","33000.0","3300.0","36300.0","0.0","2026-08-31","2026-09-30","入金済","銀行振込","業務課","飯田","栄","52225008","","阿育会","287-0005","千葉県","香取市佐原ホ３２３－２","","0478-52-0232","","","","","郵送","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","33000.0","3300.0","33000","36300","0","0","0","0","0","33000","3300","JPY","","未"
"37222611","8268","2026年08月請求分","トータルステイ株式会社","","","","602550.0","60255.0","662805.0","0.0","2026-08-31","2026-09-30","請求済","銀行振込","業務課","飯田","栄","52225009","","トータルステイ","314-0127","茨城県","神栖市木崎２３９８－２４","","0299-94-8811","","keiri@kih.jp","","","メール(DL)+郵送","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","602550.0","60255.0","602550","662805","0","0","0","0","0","602550","60255","JPY","","未"
"37221840","8241","2026年08月請求分","有限会社ねっと・クリーンヘルパー","","","","47250.0","4725.0","51975.0","0.0","2026-08-31","2026-10-15","請求済","銀行振込","業務課","飯田","栄","52225024","","ねっとクリーンヘルパー","314-0144","茨城県","神栖市大野原1丁目16-25","","0299-90-1224","0299-90-1228","","","","メール(DL)+郵送","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","47250.0","4725.0","47250","51975","0","0","0","0","0","47250","4725","JPY","","未"
"37221847","8204","2026年08月請求分","香取商店会 　香取の杜　談小屋","","","","89856.0","8986.0","98842.0","0.0","2026-08-31","2026-09-30","入金済","銀行振込","業務課","飯田","栄","52246895","","香取商店会","287-0017","千葉県","香取市香取1894-2","","","","","","神宮トイレ","郵送","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","89856.0","8986.0","89856","98842","0","0","0","0","0","89856","8986","JPY","","未"
"37214633","8222","2026年08月請求分","株式会社 鈴生ハウジング","","鈴木 ","聡使","25000.0","2500.0","27500.0","0.0","2026-08-31","2026-09-30","入金済","銀行振込","飲食事業部","花見","朗子","52279851",""," 鈴生ハウジング","300-0413","茨城県","稲敷郡美浦村大谷1290番地1","","0120-691-609","","","","","メール(DL)+郵送","","","","","","","","56694180","様","代表取締役","","","0.0","0.0","0.0","0.0","0.0","25000.0","2500.0","25000","27500","0","0","0","0","0","25000","2500","JPY","","未"
"37223650","8277","2026年08月請求分","株式会社泉ハウジング","","","","36000.0","3600.0","39600.0","0.0","2026-08-31","2026-09-30","請求済","銀行振込","飲食事業部","花見","朗子","52664991","","㈱泉ハウジング","314-0127","茨城県","神栖市木崎2398番地24","","","","keiri@kih.jp","seikyu@prostyle-co.com","","メール(DL)+郵送","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","36000.0","3600.0","36000","39600","0","0","0","0","0","36000","3600","JPY","","未"
"37221870","7274","2026年08月請求分","デンカポリマー株式会社　佐倉工場","","","","146080.0","14608.0","160688.0","0.0","2026-08-31","2026-09-30","請求済","銀行振込","業務課","飯田","栄","52667502","","デンカポリマー","285-0808","千葉県","佐倉市太田２４１５","","043-484-2141","","h.komatsu@denkapolymer.co.jp","","","メール(DL)+郵送","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","146080.0","14608.0","146080","160688","0","0","0","0","0","146080","14608","JPY","","未"
"37221814","8253","2026年08月請求分","亀甲堂","","","","55000.0","5500.0","60500.0","0.0","2026-08-31","2026-09-30","請求済","銀行振込","業務課","飯田","純子","52683229","","亀甲堂","287-0017","千葉県","香取市香取１８９４ー５","","0478-57-3131","","","","","メール(DL)+郵送","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","55000.0","5500.0","55000","60500","0","0","0","0","0","55000","5500","JPY","","未"
"37221874","8024","2026年08月請求分","株式会社KAマシン","","","","36200.0","3620.0","39820.0","0.0","2026-08-31","2026-09-30","請求済","銀行振込","鳥害対策課","飯田","栄","52758973","","KAマシン","276-0047","千葉県","八千代市吉橋1834-15","","047-458-6550","047-458-4838","","","","メール(添付)","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","36200.0","3620.0","36200","39820","0","0","0","0","0","36200","3620","JPY","","未"
"37221819","8196","2026年08月請求分","日本PALエンジニアリング株式会社","","","","20000.0","2000.0","22000.0","0.0","2026-08-31","2026-09-30","請求済","銀行振込","業務課","飯田","純子","52765159","","日本PALエンジニアリング","314-0112","茨城県","神栖市知手中央10-8-4","","0299-77-7331","","","","","メール(DL)+郵送","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","20000.0","2000.0","20000","22000","0","0","0","0","0","20000","2000","JPY","","未"
"37221771","8252","2026年08月請求分","株式会社ゆう屋","","","","99000.0","9900.0","108900.0","0.0","2026-08-31","2026-09-30","請求済","銀行振込","業務課","飯田","栄","52765483",""," ゆう屋","287-0105","千葉県","香取市沢字馬渡台２１５２番地１４","","0478-75-1171","0478-75-1201","yuya-1@yuuya.co.jp","","","メール(DL)+郵送","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","99000.0","9900.0","99000","108900","0","0","0","0","0","99000","9900","JPY","","未"
"37221877","8124","2026年08月請求分","一般社団法人佐倉心理総合研究所","","","","178280.0","17828.0","196108.0","0.0","2026-08-31","2026-09-30","入金済","銀行振込","業務課","飯田","栄","52799531","","佐倉心理総合研究所","285-0037","千葉県","佐倉市本町７番地１","","","","","","","メール(DL)+郵送","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","178280.0","17828.0","178280","196108","0","0","0","0","0","178280","17828","JPY","","未"
"37222287","8179","2026年08月請求分","TAKEOUTPARK神栖横丁","","","","140000.0","14000.0","154000.0","0.0","2026-08-31","2026-10-10","請求済","銀行振込","業務課","飯田","栄","52824821","","神栖横丁","","","","","","","","","","メール(DL)","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","140000.0","14000.0","140000","154000","0","0","0","0","0","140000","14000","JPY","","未"
"37230247","8303","2026年08月請求分","合同会社 ロックワークス","","","","214874.0","21487.0","236361.0","0.0","2026-08-31","2026-09-30","請求済","銀行振込","飲食事業部","花見","朗子","52867131",""," ロックワークス","289-2613","千葉県","旭市後草2238-20","","","","hanawamouen@outlook.jp, namikyu@crocus.ocn.ne.jp, 3.27asano.t@gmail.com","seikyu@prostyle-co.com","","メール(DL)","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","214874.0","21487.0","214874","236361","0","0","0","0","0","214874","21487","JPY","","未"
"37230313","8308","2026年08月請求分","有限会社華のれん","","","","216018.0","21602.0","237620.0","0.0","2026-08-31","2026-09-30","請求済","銀行振込","飲食事業部","花見","朗子","52902346","","華のれん","311-3827","茨城県","行方市石神１７１３番地","","",""," punipuni718@gmail.com,team.hananoren@docomo.ne.jp","seikyu@prostyle-co.com","","メール(DL)","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","216018.0","21602.0","216018","237620","0","0","0","0","0","216018","21602","JPY","","未"
"37222103","8183","2026年08月請求分","株式会社ヒューマンモビリティ","","","","18000.0","1800.0","19800.0","0.0","2026-08-31","2026-09-30","請求済","銀行振込","業務課","飯田","純子","52996677","","ヒューマンモビリティ","289-0321","千葉県","香取市阿玉川１６５","","","","","","","メール(添付)+郵送","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","18000.0","1800.0","18000","19800","0","0","0","0","0","18000","1800","JPY","","未"
"37223351","8272","2026年08月請求分","株式会社鹿島アントラーズ・エフ・シー","","","","1018182.0","101818.0","1120000.0","0.0","2026-08-31","2026-09-30","請求済","銀行振込","飲食事業部","花見","朗子","53003893","","鹿島アントラーズ・エフ・シー","314-0021","茨城県","鹿嶋市大字粟生字東山２８８７番地","","","","","","","メール(添付)+郵送","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","1018182.0","101818.0","1018182","1120000","0","0","0","0","0","1018182","101818","JPY","","未"
"37224057","8282","2026年08月請求分","金田康孝","","","","200000.0","20000.0","220000.0","0.0","2026-08-31","2026-09-30","請求済","銀行振込","飲食事業部","花見","朗子","53139281","","金田康孝","","","","","","","yaki26yaki26@gmail.com,me.hag.1107@gmail.com","seikyu@prostyle-co.com","","メール(DL)","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","200000.0","20000.0","200000","220000","0","0","0","0","0","200000","20000","JPY","","未"
"37230336","8309","2026年08月請求分","金田康孝","","","","217420.0","21742.0","239162.0","0.0","2026-08-31","2026-09-30","請求済","銀行振込","飲食事業部","花見","朗子","53139281","","金田康孝","","","","","","","yaki26yaki26@gmail.com,me.hag.1107@gmail.com","seikyu@prostyle-co.com","","メール(DL)","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","217420.0","21742.0","217420","239162","0","0","0","0","0","217420","21742","JPY","","未"
"37224076","8285","2026年08月請求分","株式会社GAKIGEN GROUP","","","","200000.0","20000.0","220000.0","0.0","2026-08-31","2026-09-30","請求済","銀行振込","飲食事業部","花見","朗子","53279826","","GAKIGEN GROUP","314-0144","茨城県","神栖市大野原１丁目２－３１","","070-1251-1010","","","","","郵送","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","200000.0","20000.0","200000","220000","0","0","0","0","0","200000","20000","JPY","","未"
"37218249","8054","2026年08月請求分","イワブチ株式会社","","","","345000.0","34500.0","379500.0","0.0","2026-08-31","2026-09-30","請求済","銀行振込","鳥害対策課","飯田","栄","53325248","","イワブチ","271-0064","千葉県","松戸市中根長津町176","","","","","","","メール(添付)+郵送","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","345000.0","34500.0","345000","379500","0","0","0","0","0","345000","34500","JPY","","未"
"37221878","7362","2026年08月請求分","有限会社佐藤建設工業","","","","2520000.0","252000.0","2772000.0","0.0","2026-08-31","2026-10-10","請求済","銀行振込","鳥害対策課","飯田","栄","53372623","","佐藤建設工業","306-0505","茨城県","坂東市菅谷１５２２番地１","","","","satoken@star.ocn.ne.jp","","","メール(DL)+郵送","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","2520000.0","252000.0","2520000","2772000","0","0","0","0","0","2520000","252000","JPY","","未"
"37222702","8269","2026年08月請求分","株式会社司設計事務所","","","","130164.0","13016.0","143180.0","0.0","2026-08-31","2026-09-30","請求済","銀行振込","飲食事業部","花見","朗子","53411152","","司設計事務所","639-0222","奈良県","香芝市西真美３丁目８番地７","","",""," t.yoshida@tsukasa-designoffice.com","seikyu@Prostyle-co.com","","メール(DL)","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","130164.0","13016.0","130164","143180","0","0","0","0","0","130164","13016","JPY","","未"
"37230300","8306","2026年08月請求分","Prostyle株式会社","","","","275131.0","27513.0","302644.0","0.0","2026-08-31","2026-09-30","請求済","銀行振込","飲食事業部","花見","朗子","53413584","","タコとハイボール","","","","","","","","","","メール(DL)+郵送","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","275131.0","27513.0","275131","302644","0","0","0","0","0","275131","27513","JPY","","未"
"37221821","8256","2026年08月請求分","鹿島商工株式会社","","","","10000.0","1000.0","11000.0","0.0","2026-08-31","2026-09-30","請求済","銀行振込","業務課","飯田","純子","53415672","","鹿島商工","314-0116","茨城県","神栖市奥野谷５７５５","","","","","","","メール(DL)+郵送","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","10000.0","1000.0","10000","11000","0","0","0","0","0","10000","1000","JPY","","未"
"37230342","8310","2026年08月請求分","もも焼JAPAN","","","","245985.0","24599.0","270584.0","0.0","2026-08-31","2026-09-30","請求済","銀行振込","飲食事業部","花見","朗子","53422676","","もも焼JAPAN","","","","","",""," yoshihirotsuchiya627@gmail.com","seikyu@prostyle-co.com","","メール(DL)","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","245985.0","24599.0","245985","270584","0","0","0","0","0","245985","24599","JPY","","未"
